id_movimiento,id_miembro,fecha,minuto,hora,importe,comercio,actividad_completa,actividad
42774,65,2007-12-04,24,10,50,04,EST SERV SHELL,GASOLINERAS,COCHE
55735,80,2006-12-08,34,16,33,38,RESTAURANTE LA MATITA,RESTAURANTES RESTO,RESTAURANTE
31810,41,2005-10-10,44,15,47,25,E.S. GALPIZA, S.L.,C.A.M.P.S.A.,COCHE
47977,68,2006-05-28,34,19,15,52,TIENDAS DE CONVENIENCIA,HIPERCOR SUPERMERCADOS EL CORTE INGLES,SUPERMERCADO
55730,80,2006-12-06,54,16,114,47,RESTAURANTE LAS B B B,RESTAURANTES RESTO,RESTAURANTE
29991,40,2004-12-28,32,15,232,DYKINSON,LIBRERIAS, PAPELERIAS Y DISCOS,LIBRERIA
6267,4,2011-12-15,34,18,50,JHULIEN SOLUCIONES SL,FLORES Y PLANTAS,HOGAR
18007,21,2011-01-31,24,15,18,29,DATAFONOS PARKING P4,GARAJES Y APARCAMIENTOS,COCHE
22482,29,2003-12-02,57,20,107,18,GIGANTE SUPERMERCADOS,HIPERMERCADOS (TECNOLOGIA ELECTRONICA),SUPERMERCADO
58265,81,2011-10-31,14,16,31,RESTAURANTE SAREMA,RESTAURANTES RESTO,RESTAURANTE
48714,73,2004-08-12,30,16,46,VANEMAR, S.L.,RESTAURANTES RESTO,RESTAURANTE
35191,47,2011-09-08,28,15,124,MICHAEL KORS,CONFECCION TEXTIL EN GENERAL,ROPA
69398,11,2003-08-17,53,18,90,IOGS INST. OFTALMOLOGICO,HOSPITALES,SANATORIOS Y CONSULTAS MEDIC,SALUD
42048,65,2005-04-28,42,14,75,05,TIENDAS DE CONVENIENCIA,HIPERCOR SUPERMERCADOS EL CORTE INGLES,SUPERMERCADO
26332,32,2010-12-09,14,17,256,29,PLAZA DE LAS VISTILLAS SL,RESTAURANTES RESTO,RESTAURANTE
73943,52,2004-11-29,20,15,8,64,ACESA,ACESA,COCHE
14357,16,2009-05-03,40,21,116,41,JULIAN DE TOLOSA S.A.,RESTAURANTES DE 4 Y 5 TENEDORES,RESTAURANTE
18107,22,2008-11-03,19,18,1800,RESTAURANTE CANTOBLANCO,RESTAURANTES RESTO,RESTAURANTE
46070,66,2011-02-25,27,21,62,5,PRAT ALOI,HOTELES,MOTELES,BALNEARIOS,CAMPINGS REST,HOTEL
33435,44,2009-01-22,30,23,93,69,BAR DISTINTO,RESTAURANTES RESTO,RESTAURANTE
16584,20,2003-10-23,32,15,173,88,RESTAURANTE ERROTA ZAR,RESTAURANTES RESTO,RESTAURANTE
70766,9,2006-09-19,26,15,15,ONLINE P4,GARAJES Y APARCAMIENTOS,COCHE
69907,11,2007-11-08,57,16,626,NAC NAC MADRID SL,MARROQUINERIA,ARTICULOS DE VIAJE,COMPRA BIENES
15112,17,2010-04-12,24,15,103,5,,RESTAURANTES RESTO,RESTAURANTE
72377,72,2004-01-25,1,14,27,25,EL CORTE INGLES,EL CORTE INGLES,COMPRA BIENES
75374,57,2004-07-21,39,18,64,54,GIL-GO T44,G.SUPERFICIES DE DROGUERIA Y PERFUMERIA,SUPERMERCADO
53284,78,2005-10-06,15,23,91,09,RESTAURANTE SOLERA,RESTAURANTES RESTO,RESTAURANTE
33953,44,2011-08-16,18,16,150,EL CORTE INGLES S.A.,EL CORTE INGLES,COMPRA BIENES
41423,65,2003-05-09,27,19,99,CALZADOS TATHIS,ZAPATERIAS,ROPA
11615,69,2004-11-24,25,17,73,8,VELAZQUEZ GOURMET,TIENDA DE GOLOSINAS,RESTAURANTE
58342,82,2010-04-05,9,16,68,58,PARADOR ALCALA HENARES,PARADORES NACIONALES,HOTEL
55685,80,2006-10-18,41,15,94,8,EL CORTE INGLES,EL CORTE INGLES,COMPRA BIENES
7581,5,2009-08-23,17,19,200,8,HIPERCOR MENDEZ ALVARO,HIPERCOR SUPERMERCADOS EL CORTE INGLES,SUPERMERCADO
70000,11,2008-12-17,26,20,75,EL CORTE INGLES,EL CORTE INGLES,COMPRA BIENES
61531,28,2006-09-22,52,1,50,13,LA VACA ARGENTINA,RESTAURANTES DE 4 Y 5 TENEDORES,RESTAURANTE
23750,29,2009-05-21,16,0,157,33,SUPERCOR EL ESCORIAL,HIPERCOR SUPERMERCADOS EL CORTE INGLES,SUPERMERCADO
52300,77,2009-10-02,22,15,3,15,PK VELAZQUEZ JORGE JUAN,GARAJES Y APARCAMIENTOS,COCHE
6628,5,2005-05-22,18,15,31,75,,SHERATON (SHERATON HOTELS),HOTEL
23036,29,2006-04-11,14,16,141,55,SUPERCOR EL ESCORIAL,HIPERCOR SUPERMERCADOS EL CORTE INGLES,SUPERMERCADO
58006,81,2010-12-13,31,15,9,05,TAXI,TAXIS,COCHE
31303,40,2009-05-14,44,16,126,73,RESTAURANTE EL BUEY,RESTAURANTES DE 4 Y 5 TENEDORES,RESTAURANTE
33033,44,2007-01-19,9,16,116,EL CORTE INGLES,EL CORTE INGLES,COMPRA BIENES
36408,48,2008-05-23,45,16,92,44,JUTECO,BODYBELL JUTECO,ESTETICA
4420,4,2008-01-14,1,18,90,33,FARMACIA MARIO VICENTE-AR,FARMACIAS,SALUD
73437,72,2010-07-22,43,19,793,K TUIN,ELECTRODOMESTICOS,EQUIPOS ELECTRICOS,HOGAR
2007,83,2004-09-27,23,17,15,35,CAFET. VIPS SEXTA AVENIDA,VIPS,MISC
36785,48,2010-04-20,20,16,93,65,EL BILBAINO,RESTAURANTES RESTO,RESTAURANTE
71170,9,2009-07-18,15,19,16,25,CEPSA 07487-1 CA¬ADA ANCH,CEPSA,COCHE
35228,47,2011-11-17,29,18,32,2,NOMEOLVIDES,BAZARES, OBJETOS REGALO Y SOUVENIRS,REGALOS
58340,82,2010-04-02,2,14,340,,RESTAURANTES RESTO,RESTAURANTE
66905,55,2004-08-26,42,15,129,49,,JOYERIAS Y RELOJERIAS,COMPRA BIENES LUJO
26956,32,2011-11-25,37,15,27,LOS TORREZNOS,RESTAURANTES RESTO,RESTAURANTE
12890,15,2007-10-25,12,16,3,34,CINTRA SALAMANCA,GARAJES,RESTO DE APARCAMIENTOS,COCHE
52901,77,2011-10-02,38,15,6,44,IBERPISTAS, S.A.C.E.,AUTOPISTAS (TERMINALES),COCHE
2446,83,2008-01-23,8,19,71,69,LATIGAZO FLORIDA S.L.,RESTAURANTES RESTO,RESTAURANTE
66521,59,2010-06-29,28,15,8,94,VINCI PARK PRINCESA,GARAJES Y APARCAMIENTOS,COCHE
69136,50,2009-08-23,39,13,61,09,E.S. BUENAS NOCHES,GASOLINERAS,COCHE
75408,79,2010-02-23,27,15,147,88,,JOYERIAS Y RELOJERIAS,COMPRA BIENES LUJO
17622,20,2008-11-20,47,19,120,EL CORTE INGLES,EL CORTE INGLES,COMPRA BIENES
75834,79,2011-11-09,37,15,50,IBERIA,IBERIA,AVION
68538,50,2006-04-09,4,10,150,,CAJEROS AUTOMATICOS,CA$H
41451,65,2003-06-30,24,21,64,TOLES 2, S.L.,RESTAURANTES RESTO,RESTAURANTE
61649,28,2007-03-16,57,14,30,6,EL CORTE INGLES S.A.,EL CORTE INGLES,COMPRA BIENES
6850,5,2006-05-15,25,16,1,64,APARCAMIENTO MAYOR,GARAJES,RESTO DE APARCAMIENTOS,COCHE
57243,80,2010-11-10,45,15,38,5,LA COCINA DEL DESIERTO,RESTAURANTES RESTO,RESTAURANTE
17833,21,2008-08-27,17,16,73,83,RESTAURANTE CASA ANTONIO,RESTAURANTES RESTO,RESTAURANTE
26884,32,2011-10-17,14,9,35,RADIO TLF TAXI LIC. 11524,TAXIS,COCHE
16368,19,2005-12-14,55,10,500,,CAJEROS AUTOMATICOS,CA$H
6869,5,2006-06-21,12,16,17,39,APARCAMIENTO CORTES,GARAJES,RESTO DE APARCAMIENTOS,COCHE
46721,67,2010-04-01,34,12,57,75,GASOLINERA EL RONQUILLO,GASOLINERAS,COCHE
70417,9,2004-03-17,57,16,93,05,RESTAURANTE LA QUINTANA,RESTAURANTES RESTO,RESTAURANTE
59017,54,2004-12-20,32,0,265,RESTAURANTE ZALACAIN,RESTAURANTES DE 4 Y 5 TENEDORES,RESTAURANTE
24666,30,2007-12-18,36,16,118,76,BOCALEON IBERICA SL,RESTAURANTES RESTO,RESTAURANTE
61860,28,2007-12-04,24,10,106,CLUB GOLF DEL SUR RECEPCION,HOTELES,MOTELES,BALNEARIOS,CAMPINGS REST,HOTEL
